,Date,ScallopCount,SH,alloDry,alloWet
1,1/27/21,1,41,0.553,3.358
2,1/27/21,2,38,0.504,3.165
3,1/27/21,3,41,0.73,4.516
4,1/27/21,4,44,0.715,4.343
5,1/27/21,5,38,0.482,3.013
6,1/27/21,6,45,0.839,5.139
7,1/27/21,7,42,0.634,4.072
8,1/27/21,8,44,0.76,4.784
9,1/27/21,9,45,0.862,4.985
10,1/27/21,10,40,0.507,3.348
11,1/27/21,11,42,0.587,3.335
12,1/27/21,12,39,0.556,3.555
13,1/27/21,13,36,0.475,2.943
14,1/27/21,14,43,0.69,4.35
15,1/27/21,15,38,0.576,3.584
16,1/27/21,16,62,3.1,18.14
17,1/27/21,17,66,3.094,18.664
18,1/27/21,18,64,2.586,15.083
19,1/27/21,19,69,2.914,17.405
20,1/27/21,20,62,2.633,14.813
21,1/27/21,21,67,3.087,18.616
22,1/27/21,22,59,2.026,11.783
23,1/27/21,23,66,2.747,15.891
24,1/27/21,24,70,3.363,19.634
25,1/27/21,25,67,2.9,17.323
26,1/27/21,26,68,3.518,20.681
27,1/27/21,27,62,2.476,14.111
28,1/27/21,28,68,2.789,17.5
29,1/27/21,29,72,3.87,23.2
30,1/27/21,30,62,2.73,16.22
31,10/30/20,1,32,0.309,1.767
32,10/30/20,2,35,0.375,2.129
33,10/30/20,3,33,0.373,2.177
34,10/30/20,4,31,0.317,1.996
35,10/30/20,5,33,0.406,2.184
36,10/30/20,6,28,0.18,1.097
37,10/30/20,7,35,0.365,2.257
38,10/30/20,8,33,0.357,2.004
39,10/30/20,9,31,0.328,1.912
40,10/30/20,10,32,0.319,1.872
41,10/30/20,11,32,0.311,1.833
42,10/30/20,12,33,0.405,2.411
43,10/30/20,13,33,0.384,2.309
44,10/30/20,14,35,0.423,2.437
45,10/30/20,15,30,0.261,1.498
46,10/30/20,16,63,2.657,14.094
47,10/30/20,17,62,2.756,14.59
48,10/30/20,18,61,2.572,13.549
49,10/30/20,19,60,2.361,12.834
50,10/30/20,20,63,2.637,15.486
51,10/30/20,21,61,2.298,13.299
52,10/30/20,22,64,2.308,13.453
53,10/30/20,23,63,2.728,15.114
54,10/30/20,24,64,2.639,14.453
55,10/30/20,25,50,1.222,7.021
56,10/30/20,26,60,2.669,10.482
57,10/30/20,27,60,2.328,13.016
58,10/30/20,28,60,2.33,7.933
59,10/30/20,29,64,2.782,14.764
60,10/30/20,30,58,2.032,11.578
61,11/19/20,1,41,0.957,5.79
62,11/19/20,2,39,0.539,3.7
63,11/19/20,3,42,0.639,4.03
64,11/19/20,4,39,0.533,2.946
65,11/19/20,5,38,0.464,2.875
66,11/19/20,6,41,0.615,3.564
67,11/19/20,7,38,0.504,2.986
68,11/19/20,8,40,0.703,4.026
69,11/19/20,9,38,0.556,3.12
70,11/19/20,10,38,0.432,2.645
71,11/19/20,11,33,0.366,2.089
72,11/19/20,12,40,0.741,4.323
73,11/19/20,13,38,0.601,3.643
74,11/19/20,14,38,0.48,3.25
75,11/19/20,15,36,0.438,2.736
76,11/19/20,16,70,3.622,17.799
77,11/19/20,17,63,2.3,12.443
78,11/19/20,18,68,3.28,16.014
79,11/19/20,19,65,2.431,12.614
80,11/19/20,20,58,2.072,11.337
81,11/19/20,21,57,2.016,11.243
82,11/19/20,22,64,2.305,13.22
83,11/19/20,23,66,3.083,16.821
84,11/19/20,24,64,2.485,13.058
85,11/19/20,25,70,3.288,17.744
86,11/19/20,26,62,2.673,14.797
87,11/19/20,27,62,2.478,13.263
88,11/19/20,28,62,2.453,13.34
89,11/19/20,29,64,2.409,12.732
90,11/19/20,30,60,2.321,13.087
91,12/21/20,1,41,0.693,4.083
92,12/21/20,2,40,0.465,2.799
93,12/21/20,3,34,0.411,2.347
94,12/21/20,4,35,0.393,2.386
95,12/21/20,5,40,0.489,3.104
96,12/21/20,6,34,0.422,2.507
97,12/21/20,7,40,0.44,2.499
98,12/21/20,8,36,0.412,2.5
99,12/21/20,9,39,0.473,2.859
100,12/21/20,10,40,0.552,3.329
101,12/21/20,11,39,0.564,3.362
102,12/21/20,12,40,0.615,3.692
103,12/21/20,13,40,0.572,3.32
104,12/21/20,14,40,0.502,3.126
105,12/21/20,15,39,0.656,4.69
106,12/21/20,16,58,2.226,13.73
107,12/21/20,17,73,4.033,23.265
108,12/21/20,18,60,2.359,13.681
109,12/21/20,19,61,2.355,14.094
110,12/21/20,20,62,2.785,16.501
111,12/21/20,21,59,2.396,13.845
112,12/21/20,22,63,2.68,16.291
113,12/21/20,23,66,2.903,17.296
114,12/21/20,24,64,2.647,14.614
115,12/21/20,25,68,3.518,21.747
116,12/21/20,26,58,1.777,9.312
117,12/21/20,27,62,2.502,14.505
118,12/21/20,28,60,2.472,15.178
119,12/21/20,29,55,2.143,12.015
120,12/21/20,30,60,2.103,11.949
121,2/24/21,1,45,0.88,4.863
122,2/24/21,2,43,0.743,4.166
123,2/24/21,3,50,1.303,7.079
124,2/24/21,4,48,1.032,5.575
125,2/24/21,5,45,0.851,4.844
126,2/24/21,6,39,0.836,4.552
127,2/24/21,7,44,0.811,4.649
128,2/24/21,8,42,0.771,4.295
129,2/24/21,9,46,0.892,4.917
130,2/24/21,10,42,0.761,4.144
131,2/24/21,11,42,0.719,4.116
132,2/24/21,12,39,0.69,3.682
133,2/24/21,13,39,0.696,3.858
134,2/24/21,14,44,0.861,4.737
135,2/24/21,15,44,1.078,5.718
136,2/24/21,16,66,3.08,16.748
137,2/24/21,17,62,2.943,15.929
138,2/24/21,18,62,3.062,15.625
139,2/24/21,19,69,4.157,19.487
140,2/24/21,20,64,3.092,15.945
141,2/24/21,21,63,2.954,14.82
142,2/24/21,22,61,2.811,14.414
143,2/24/21,23,70,3.866,18.382
144,2/24/21,24,71,4.184,22.013
145,2/24/21,25,70,3.873,19.462
146,2/24/21,26,66,2.879,15.871
147,2/24/21,27,74,4.812,24.239
148,2/24/21,28,67,3.682,18.407
149,2/24/21,29,71,4.841,24.601
150,2/24/21,30,75,5.933,28.565
151,3/30/21,1,47,1.478,7.255
152,3/30/21,2,42,0.862,4.578
153,3/30/21,3,46,1.146,5.853
154,3/30/21,4,43,0.925,4.955
155,3/30/21,5,44,0.875,4.732
156,3/30/21,6,46,1.059,5.148
157,3/30/21,7,44,1.163,5.861
158,3/30/21,8,49,1.515,6.915
159,3/30/21,9,45,1.142,5.801
160,3/30/21,10,41,1.329,6.584
161,3/30/21,11,49,1.315,6.59
162,3/30/21,12,47,1.245,6.053
163,3/30/21,13,52,1.658,8.347
164,3/30/21,14,43,1.106,5.631
165,3/30/21,15,47,1.172,6.058
166,3/30/21,16,66,5.046,22.013
167,3/30/21,17,66,3.923,19.735
168,3/30/21,18,66,3.62,18.404
169,3/30/21,19,71,5.558,24.893
170,3/30/21,20,61,4.123,18.871
171,3/30/21,21,73,5.743,25.583
172,3/30/21,22,63,3.368,15.869
173,3/30/21,23,66,3.972,19.018
174,3/30/21,24,73,5.776,26.692
175,3/30/21,25,63,4.615,20.673
176,3/30/21,26,72,5.182,24.639
177,3/30/21,27,72,5.826,25.089
178,3/30/21,28,65,4.407,20.841
179,3/30/21,29,72,4.511,20.721
180,3/30/21,30,72,5.923,25.018
181,4/26/21,1,48,1.285,6.611
182,4/26/21,2,51,1.806,8.353
183,4/26/21,3,51,1.424,6.435
184,4/26/21,4,54,2.179,10.281
185,4/26/21,5,47,1.426,6.856
186,4/26/21,6,53,2.095,9.352
187,4/26/21,7,46,1.238,5.758
188,4/26/21,8,56,2.035,9.405
189,4/26/21,9,46,1.091,5.298
190,4/26/21,10,55,2.14,10.446
191,4/26/21,11,56,2.319,10.137
192,4/26/21,12,47,1.058,5.605
193,4/26/21,13,47,1.228,6.012
194,4/26/21,14,44,1.061,4.836
195,4/26/21,15,46,1.24,5.973
196,4/26/21,16,67,5,22.732
197,4/26/21,17,70,4.73,20.866
198,4/26/21,18,72,5.63,24.404
199,4/26/21,19,75,5.964,27.238
200,4/26/21,20,61,4.639,21.616
201,4/26/21,21,71,5.657,24.815
202,4/26/21,22,74,5.78,25.586
203,4/26/21,23,74,6.382,27.714
204,4/26/21,24,70,4.835,22.458
205,4/26/21,25,74,5.649,26.275
206,4/26/21,26,62,1.123,7.593
207,4/26/21,28,76,5.944,25.806
208,4/26/21,29,75,7.214,30.625
209,4/26/21,30,76,6.298,28.902
210,8/26/20,1,25,0.138,0.731
211,8/26/20,2,23,0.116,0.554
212,8/26/20,3,21,0.1,0.505
213,8/26/20,4,23,0.128,0.595
214,8/26/20,5,27,0.188,0.938
215,8/26/20,6,22,0.088,0.424
216,8/26/20,7,23,0.106,0.529
217,8/26/20,8,22,0.094,0.467
218,8/26/20,9,26,0.159,0.823
219,8/26/20,10,24,0.139,0.684
220,8/26/20,11,21,0.104,0.494
221,8/26/20,12,20,0.065,0.325
222,8/26/20,13,20,0.08,0.359
223,8/26/20,14,17,0.053,0.233
224,8/26/20,15,16,0.039,0.153
225,8/26/20,16,52,1.336,6.641
226,8/26/20,17,49,1.292,6.47
227,8/26/20,18,53,1.638,8.648
228,8/26/20,19,45,1.005,5.624
229,8/26/20,20,57,2.268,11.1
230,8/26/20,21,53,1.693,9.133
231,8/26/20,22,51,1.583,8.032
232,8/26/20,23,42,1.108,6.459
233,8/26/20,24,49,1.285,6.756
234,8/26/20,25,47,1.177,6.089
235,8/26/20,26,45,0.871,5.222
236,8/26/20,27,46,1.11,6.145
237,8/26/20,28,45,0.898,5.383
238,8/26/20,29,52,1.556,8.003
239,8/26/20,30,37,0.539,3.206
240,9/28/20,1,35,0.38,1.1753
241,9/28/20,2,30,0.247,0.636
242,9/28/20,3,25,0.138,0.804
243,9/28/20,4,33,0.327,1.05
244,9/28/20,5,27,0.179,1.093
245,9/28/20,6,26,0.152,0.906
246,9/28/20,7,37,0.502,0.847
247,9/28/20,8,35,0.393,2.1
248,9/28/20,9,33,0.367,1.302
249,9/28/20,10,30,0.219,1.182
250,9/28/20,11,34,0.332,1.865
251,9/28/20,12,32,0.237,1.414
252,9/28/20,13,34,0.394,2.405
253,9/28/20,14,29,0.245,1.528
254,9/28/20,15,33,0.297,1.794
255,9/28/20,16,57,1.833,9.888
256,9/28/20,17,55,2.075,11.169
257,9/28/20,18,55,1.95,10.099
258,9/28/20,19,52,1.599,9.334
259,9/28/20,20,53,1.743,9.877
260,9/28/20,21,55,1.666,8.913
261,9/28/20,22,52,1.735,9.246
262,9/28/20,23,51,1.313,7.365
263,9/28/20,24,57,2.031,9.947
264,9/28/20,25,55,1.644,9.006
265,9/28/20,26,51,1.497,7.849
266,9/28/20,27,56,2.091,11.568
267,9/28/20,28,55,2.079,10.796
268,9/28/20,29,47,1.323,6.393
269,9/28/20,30,54,1.737,9.018